"DISTRICT_CODE","DISTRICT_NAME","SCHOOL_CODE","SCHOOL_NAME","X_FREE_AND_REDUCED"
"10","MAPLETON 1","187","MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS","65.60"
"10","MAPLETON 1","212","MAPLETON EARLY COLLEGE HIGH SCHOOL","69.00"
"10","MAPLETON 1","263","GLOBAL LEADERSHIP ACADEMY","90.60"
"10","MAPLETON 1","309","SKYVIEW ACADEMY HIGH SCHOOL","73.30"
"10","MAPLETON 1","501","MONTEREY COMMUNITY SCHOOL","80.80"
"10","MAPLETON 1","502","MEADOW COMMUNITY SCHOOL","76.20"
"10","MAPLETON 1","503","YORK INTERNATIONAL","73.20"
"10","MAPLETON 1","504","WELBY MONTESSORI SCHOOL","78.30"
"10","MAPLETON 1","505","ACHIEVE ACADEMY","83.30"
"10","MAPLETON 1","506","EXPLORE ELEMENTARY","67.80"
"10","MAPLETON 1","507","ADVENTURE ELEMENTARY","90.90"
"10","MAPLETON 1","509","CLAYTON PARTNERSHIP SCHOOL","76.50"
"10","MAPLETON 1","1796","COLORADO CONNECTIONS ACADEMY","40.40"
"10","MAPLETON 1","4699","THE NEW AMERICA SCHOOL","66.70"
"10","MAPLETON 1","6315","NORTH VALLEY SCHOOL FOR YOUNG ADULTS","62.70"
"10","MAPLETON 1","9036","VALLEY VIEW K-8","70.30"
"20","ADAMS 12 FIVE STAR SCHOOLS","14","GLACIER PEAK ELEMENTARY SCHOOL","32.80"
"20","ADAMS 12 FIVE STAR SCHOOLS","15","ACADEMY OF CHARTER SCHOOLS","15.50"
"20","ADAMS 12 FIVE STAR SCHOOLS","57","ROCKY TOP MIDDLE SCHOOL","12.90"
"20","ADAMS 12 FIVE STAR SCHOOLS","59","MERIDIAN ELEMENTARY SCHOOL","3.50"
"20","ADAMS 12 FIVE STAR SCHOOLS","210","VANTAGE POINT","37.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","301","ARAPAHOE RIDGE ELEMENTARY SCHOOL","29.30"
"20","ADAMS 12 FIVE STAR SCHOOLS","1388","CENTENNIAL ELEMENTARY SCHOOL","53.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","1480","CENTURY MIDDLE SCHOOL","25.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","1519","STARGATE CHARTER SCHOOL","3.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","1752","COLORADO VIRTUAL ACADEMY (COVA)","19.10"
"20","ADAMS 12 FIVE STAR SCHOOLS","1878","CORONADO HILLS ELEMENTARY SCHOOL","89.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","1914","COTTON CREEK ELEMENTARY SCHOOL","22.10"
"20","ADAMS 12 FIVE STAR SCHOOLS","1937","COYOTE RIDGE ELEMENTARY SCHOOL","4.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","2361","EAGLEVIEW ELEMENTARY SCHOOL","22.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","2410","TARVER ELEMENTARY SCHOOL","16.50"
"20","ADAMS 12 FIVE STAR SCHOOLS","2576","CHERRY DRIVE ELEMENTARY SCHOOL","34.60"
"20","ADAMS 12 FIVE STAR SCHOOLS","2578","SKYVIEW ELEMENTARY SCHOOL","30.70"
"20","ADAMS 12 FIVE STAR SCHOOLS","2580","HUNTERS GLEN ELEMENTARY SCHOOL","17.60"
"20","ADAMS 12 FIVE STAR SCHOOLS","2582","ROCKY MOUNTAIN ELEMENTARY SCHOOL","74.10"
"20","ADAMS 12 FIVE STAR SCHOOLS","2584","RIVERDALE ELEMENTARY SCHOOL","40.00"
"20","ADAMS 12 FIVE STAR SCHOOLS","2918","FEDERAL HEIGHTS ELEMENTARY SCHOOL","96.10"
"20","ADAMS 12 FIVE STAR SCHOOLS","4000","HILLCREST ELEMENTARY SCHOOL","67.60"
"20","ADAMS 12 FIVE STAR SCHOOLS","4108","HORIZON HIGH SCHOOL","9.90"
"20","ADAMS 12 FIVE STAR SCHOOLS","4172","HULSTROM OPTIONS K-8 SCHOOL","8.50"
"20","ADAMS 12 FIVE STAR SCHOOLS","4187","SILVER HILLS MIDDLE SCHOOL","42.90"
"20","ADAMS 12 FIVE STAR SCHOOLS","5043","LEGACY HIGH SCHOOL","15.20"
"20","ADAMS 12 FIVE STAR SCHOOLS","5058","LEROY DRIVE ELEMENTARY SCHOOL","58.60"
"20","ADAMS 12 FIVE STAR SCHOOLS","5418","MALLEY DRIVE ELEMENTARY SCHOOL","67.00"
"20","ADAMS 12 FIVE STAR SCHOOLS","5706","MC ELWAIN ELEMENTARY SCHOOL","94.70"
"20","ADAMS 12 FIVE STAR SCHOOLS","5814","THORNTON MIDDLE SCHOOL","87.70"
"20","ADAMS 12 FIVE STAR SCHOOLS","5816","THORNTON HIGH SCHOOL","37.90"
"20","ADAMS 12 FIVE STAR SCHOOLS","6060","MOUNTAIN RANGE HIGH SCHOOL","25.60"
"20","ADAMS 12 FIVE STAR SCHOOLS","6150","MOUNTAIN VIEW ELEMENTARY SCHOOL","25.30"
"20","ADAMS 12 FIVE STAR SCHOOLS","6342","SHADOW RIDGE MIDDLE SCHOOL","35.60"
"20","ADAMS 12 FIVE STAR SCHOOLS","6355","NORTH MOR ELEMENTARY SCHOOL","80.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","6376","NORTH STAR ELEMENTARY SCHOOL","91.00"
"20","ADAMS 12 FIVE STAR SCHOOLS","6398","NORTHGLENN MIDDLE SCHOOL","66.80"
"20","ADAMS 12 FIVE STAR SCHOOLS","6402","NORTHGLENN HIGH SCHOOL","33.60"
"20","ADAMS 12 FIVE STAR SCHOOLS","6830","NIVER CREEK MIDDLE SCHOOL","89.60"
"20","ADAMS 12 FIVE STAR SCHOOLS","7155","PRAIRIE HILLS ELEMENTARY SCHOOL","8.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","7795","SILVER CREEK ELEMENTARY","6.70"
"20","ADAMS 12 FIVE STAR SCHOOLS","8211","THE STUDIO SCHOOL","32.10"
"20","ADAMS 12 FIVE STAR SCHOOLS","8225","STELLAR ELEMENTARY SCHOOL","36.90"
"20","ADAMS 12 FIVE STAR SCHOOLS","8275","STEM SCHOOL","21.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","8361","STUKEY ELEMENTARY SCHOOL","76.40"
"20","ADAMS 12 FIVE STAR SCHOOLS","8842","THORNTON ELEMENTARY SCHOOL","86.30"
"20","ADAMS 12 FIVE STAR SCHOOLS","9431","WESTGATE CHARTER","0.90"
"20","ADAMS 12 FIVE STAR SCHOOLS","9444","WESTLAKE MIDDLE SCHOOL","28.50"
"20","ADAMS 12 FIVE STAR SCHOOLS","9494","WESTVIEW ELEMENTARY SCHOOL","54.00"
"20","ADAMS 12 FIVE STAR SCHOOLS","9682","WOODGLEN ELEMENTARY SCHOOL","42.30"
"30","ADAMS COUNTY 14","20","ADAMS CITY MIDDLE SCHOOL","90.00"
"30","ADAMS COUNTY 14","22","LESTER R ARNOLD HIGH SCHOOL","51.30"
"30","ADAMS COUNTY 14","24","ADAMS CITY HIGH SCHOOL","73.70"
"30","ADAMS COUNTY 14","186","ALSUP ELEMENTARY SCHOOL","87.80"
"30","ADAMS COUNTY 14","1426","CENTRAL ELEMENTARY SCHOOL","86.90"
"30","ADAMS COUNTY 14","1882","COMMUNITY LEADERSHIP ACADEMY","87.20"
"30","ADAMS COUNTY 14","2308","DUPONT ELEMENTARY SCHOOL","91.90"
"30","ADAMS COUNTY 14","4516","KEARNEY MIDDLE SCHOOL","87.70"
"30","ADAMS COUNTY 14","4536","KEMP ELEMENTARY SCHOOL","90.70"
"30","ADAMS COUNTY 14","5982","MONACO ELEMENTARY SCHOOL","92.20"
"30","ADAMS COUNTY 14","6534","HANSON PREK-8 SCHOOL","91.90"
"30","ADAMS COUNTY 14","7500","ROSE HILL ELEMENTARY SCHOOL","90.30"
"40","BRIGHTON 27J","700","BELLE CREEK CHARTER SCHOOL","34.70"
"40","BRIGHTON 27J","1021","BRIGHTON HERITAGE ACADEMY","48.30"
"40","BRIGHTON 27J","1022","BRIGHTON HIGH SCHOOL","13.80"
"40","BRIGHTON 27J","1052","BROMLEY EAST CHARTER SCHOOL","23.60"
